Date,UAL_Open,UAL_High,UAL_Low,UAL_Close,UAL_AdjClose,UAL_Volume,SAVE_Open,SAVE_High,SAVE_Low,SAVE_Close,SAVE_AdjClose,SAVE_Volume,AAL_Open,AAL_High,AAL_Low,AAL_Close,AAL_AdjClose,AAL_Volume,DAL_Open,DAL_High,DAL_Low,DAL_Close,DAL_AdjClose,DAL_Volume,LUV_Open,LUV_High,LUV_Low,LUV_Close,LUV_AdjClose,LUV_Volume,JBLU_Open,JBLU_High,JBLU_Low,JBLU_Close,JBLU_AdjClose,JBLU_Volume,UALSocialMedia,SAVESoicalMedia,AALSocialMedia,DALSocialMedia,LUVSocialMedia,JBLUSocialMedia
3/23/15,69.769997,69.870003,63.090000,67.750000,67.750000,26074800,79.980003,79.980003,71.279999,76.639999,76.639999,4504400,55.470001,55.930000,50.250000,52.660000,49.996624,68467400,47.419998,47.590000,42.599998,44.880001,40.481113,54588000,46.410000,46.410000,42.209999,44.240002,42.066158,31191700,19.500000,19.600000,17.959999,19.280001,19.280001,32652700,15,6,20,17,29,9
3/30/15,68.250000,68.750000,61.730000,61.880001,61.880001,21653200,77.199997,78.430000,74.290001,75.709999,75.709999,3988500,53.240002,53.840000,49.150002,49.180000,46.692623,45855000,45.340000,45.900002,42.250000,42.250000,38.108887,52861400,44.650002,44.790001,42.689999,42.860001,40.753963,24490800,19.299999,19.540001,18.670000,18.910000,18.910000,35309300,15,6,20,16,27,9
4/6/15,60.639999,62.919998,59.290001,61.049999,61.049999,32367800,74.379997,76.430000,73.650002,74.959999,74.959999,4017400,48.349998,49.480000,47.490002,47.730000,45.315964,57186200,41.410000,43.970001,41.020000,43.230000,38.992825,59570900,41.770000,43.290001,41.049999,42.820000,40.715923,37312300,18.629999,19.450001,18.340000,19.049999,19.049999,33103400,15,6,20,16,26,9
4/13/15,60.570000,62.939999,59.639999,61.490002,61.490002,24172000,74.580002,77.989998,74.580002,75.080002,75.080002,3633800,47.470001,48.910000,46.880001,48.189999,45.752701,44891100,43.080002,45.400002,42.450001,44.759998,40.372871,66121300,42.520000,43.730000,41.790001,41.790001,39.736546,31368800,19.160000,20.250000,19.160000,19.420000,19.420000,36860800,15,5,20,16,26,8
4/20/15,62.000000,64.949997,61.060001,63.509998,63.509998,34242500,75.389999,77.989998,75.080002,77.419998,77.419998,3473600,48.610001,53.470001,47.910000,52.709999,50.044094,57777000,45.139999,47.380001,44.759998,46.980000,42.375271,48268600,42.230000,44.189999,41.730000,43.490002,41.353001,31174500,19.530001,19.959999,19.230000,19.889999,19.889999,35858000,15,6,20,16,25,9
4/27/15,62.939999,63.470001,57.950001,61.400002,61.400002,28329700,78.720001,78.959999,68.279999,69.489998,69.489998,12797600,52.680000,52.680000,47.660000,49.389999,46.892002,54614400,47.040001,47.099998,44.259998,45.660000,41.184647,50871900,43.439999,43.480000,40.099998,42.599998,40.506733,33205300,20.000000,21.670000,18.969999,21.559999,21.559999,69169100,15,5,19,15,25,8
5/4/15,61.939999,63.900002,57.700001,62.439999,62.439999,24380600,69.120003,71.230003,65.019997,68.139999,68.139999,6230700,49.410000,50.080002,46.150002,49.040001,46.655151,44997400,45.910000,46.500000,42.840000,46.169998,41.644665,59401900,42.570000,43.450001,39.720001,43.230000,41.105782,32455400,21.670000,22.080000,20.719999,21.760000,21.760000,45605400,15,6,20,16,26,9
5/11/15,62.700001,63.639999,61.060001,61.599998,61.599998,18119600,68.209999,69.000000,65.769997,67.110001,67.110001,3999100,49.000000,50.299999,48.400002,48.669998,46.303154,38040800,46.040001,47.980000,45.900002,47.000000,42.480408,55276600,42.950001,43.290001,41.160000,41.889999,39.831631,28088200,21.760000,22.139999,21.299999,21.420000,21.420000,34411300,17,6,22,17,28,9
5/18/15,61.630001,63.220001,53.110001,53.689999,53.689999,49222700,67.660004,69.230003,61.349998,62.340000,62.340000,8021000,48.560001,49.680000,42.020000,42.610001,40.537846,112606400,46.990002,47.869999,42.689999,43.180000,39.027744,85214300,41.930000,42.400002,36.610001,36.860001,35.048790,70249300,21.450001,22.400000,20.030001,20.450001,20.450001,73553700,17,6,22,17,27,9
5/25/15,54.099998,54.799999,51.680000,54.590000,54.590000,29939000,62.400002,63.709999,59.700001,63.570000,63.570000,6317300,43.049999,43.090000,41.320000,42.369999,40.309525,52973800,43.419998,43.470001,41.720001,42.919998,38.792747,54401900,37.189999,37.310001,35.540001,37.049999,35.229446,47371900,20.590000,20.740000,19.309999,20.160000,20.160000,42143100,16,6,21,17,26,9
